Region,Year,AAR,Female_Literacy,Urban_pct,Screening_Coverage,Obesity_pct,Tobacco_use_pct,Alcohol_use_pct,Screening_pct,Beds_per_1000
Bangalore,2012,40.5,78.0,100.0,22.1,24.0,6.0,1.2,8.0,1.1
Bangalore,2013,41.3,78.0,100.0,22.1,24.0,6.0,1.2,8.0,1.1
Bangalore,2014,42.1,78.0,100.0,22.1,24.0,6.0,1.2,8.0,1.1
Bangalore,2015,42.9,78.0,100.0,22.1,24.0,6.0,1.2,8.0,1.1
Bangalore,2016,43.7,78.0,100.0,22.1,24.0,6.0,1.2,8.0,1.1
Bangalore,2017,44.500000000000455,78.0,100.0,22.1,24.0,6.0,1.2,8.0,1.1
Bangalore,2018,45.30000000000064,78.0,100.0,22.1,24.0,6.0,1.2,8.0,1.1
Bangalore,2019,46.100000000001046,78.0,100.0,22.1,24.0,6.0,1.2,8.0,1.1
Bangalore,2020,46.90000000000123,78.0,100.0,22.1,24.0,6.0,1.2,8.0,1.1
Bangalore,2021,47.70000000000164,78.0,100.0,22.1,24.0,6.0,1.2,8.0,1.1
Bangalore,2022,48.50000000000182,78.0,100.0,22.1,24.0,6.0,1.2,8.0,1.1
Bangalore,2023,49.300000000002,78.0,100.0,22.1,24.0,6.0,1.2,8.0,1.1
Bangalore,2024,50.10000000000241,78.0,100.0,22.1,24.0,6.0,1.2,8.0,1.1
Chennai,2012,43.3,80.2,100.0,22.1,24.0,6.0,1.2,8.0,1.1
Chennai,2013,44.1,80.2,100.0,22.1,24.0,6.0,1.2,8.0,1.1
Chennai,2014,44.9,80.2,100.0,22.1,24.0,6.0,1.2,8.0,1.1
Chennai,2015,45.7,80.2,100.0,22.1,24.0,6.0,1.2,8.0,1.1
Chennai,2016,46.5,80.2,100.0,22.1,24.0,6.0,1.2,8.0,1.1
Chennai,2017,47.30000000000041,80.2,100.0,22.1,24.0,6.0,1.2,8.0,1.1
Chennai,2018,48.10000000000082,80.2,100.0,22.1,24.0,6.0,1.2,8.0,1.1
Chennai,2019,48.900000000001,80.2,100.0,22.1,24.0,6.0,1.2,8.0,1.1
Chennai,2020,49.70000000000118,80.2,100.0,22.1,24.0,6.0,1.2,8.0,1.1
Chennai,2021,50.50000000000159,80.2,100.0,22.1,24.0,6.0,1.2,8.0,1.1
Chennai,2022,51.30000000000177,80.2,100.0,22.1,24.0,6.0,1.2,8.0,1.1
Chennai,2023,52.100000000001955,80.2,100.0,22.1,24.0,6.0,1.2,8.0,1.1
Chennai,2024,52.900000000002365,80.2,100.0,22.1,24.0,6.0,1.2,8.0,1.1
Delhi,2012,44.2,82.4,100.0,22.1,24.0,6.0,1.2,8.0,1.1
Delhi,2013,45.0,82.4,100.0,22.1,24.0,6.0,1.2,8.0,1.1
Delhi,2014,45.8,82.4,100.0,22.1,24.0,6.0,1.2,8.0,1.1
Delhi,2015,46.6,82.4,100.0,22.1,24.0,6.0,1.2,8.0,1.1
Delhi,2016,47.4,82.4,100.0,22.1,24.0,6.0,1.2,8.0,1.1
Delhi,2017,48.2000000000005,82.4,100.0,22.1,24.0,6.0,1.2,8.0,1.1
Delhi,2018,49.00000000000091,82.4,100.0,22.1,24.0,6.0,1.2,8.0,1.1
Delhi,2019,49.80000000000109,82.4,100.0,22.1,24.0,6.0,1.2,8.0,1.1
Delhi,2020,50.60000000000127,82.4,100.0,22.1,24.0,6.0,1.2,8.0,1.1
Delhi,2021,51.40000000000168,82.4,100.0,22.1,24.0,6.0,1.2,8.0,1.1
Delhi,2022,52.200000000001864,82.4,100.0,22.1,24.0,6.0,1.2,8.0,1.1
Delhi,2023,53.000000000002274,82.4,100.0,22.1,24.0,6.0,1.2,8.0,1.1
Delhi,2024,53.800000000002456,82.4,100.0,22.1,24.0,6.0,1.2,8.0,1.1
Hyderabad district,2012,42.4,65.1,100.0,22.1,24.0,6.0,1.2,8.0,1.1
Hyderabad district,2013,43.2,65.1,100.0,22.1,24.0,6.0,1.2,8.0,1.1
Hyderabad district,2014,44.0,65.1,100.0,22.1,24.0,6.0,1.2,8.0,1.1
Hyderabad district,2015,44.8,65.1,100.0,22.1,24.0,6.0,1.2,8.0,1.1
Hyderabad district,2016,45.6,65.1,100.0,22.1,24.0,6.0,1.2,8.0,1.1
